col_zero,col_one,col_two,col_three,col_four
vdx_neurology_psychiatric,Headache,Distinguishing characteristics,Unilateral headache,
vdx_neurology_psychiatric,Headache,Distinguishing characteristics,Bilateral headache,
vdx_neurology_psychiatric,Headache,Distinguishing characteristics,Temporal headache,
vdx_neurology_psychiatric,Headache,Distinguishing characteristics,Frontal headache,
vdx_neurology_psychiatric,Headache,Distinguishing characteristics,Stabbing headache,
vdx_neurology_psychiatric,Headache,Distinguishing characteristics,Pulsatile headache,
vdx_neurology_psychiatric,Headache,Distinguishing characteristics,Thunderclap headache,
vdx_neurology_psychiatric,Headache,Cranial symptoms,Eye symptoms,
vdx_neurology_psychiatric,Headache,Cranial symptoms,Nasal symptoms,
vdx_neurology_psychiatric,Headache,Cranial symptoms,Mouth or throat symptoms,
vdx_neurology_psychiatric,Headache,Cranial symptoms,Ear symptoms,
vdx_neurology_psychiatric,Headache,Cranial symptoms,Mental status alteration,
vdx_neurology_psychiatric,Headache,Appearance of patient,Patient appears well,
vdx_neurology_psychiatric,Headache,Appearance of patient,Patient appears ill,
vdx_neurology_psychiatric,Headache,Appearance of patient,Patient appears systemically ill - toxicNone,
vdx_neurology_psychiatric,Headache,Appearance of patient,None,
vdx_neurology_psychiatric,Headache,Onset Findings,Developed rapidly (minutes to hours),
vdx_neurology_psychiatric,Headache,Onset Findings,Developed acutely (days to weeks),
vdx_neurology_psychiatric,Headache,Onset Findings,Developed steadily (weeks to months),
vdx_neurology_psychiatric,Headache,Onset Findings,Chronic duration lasting years,
vdx_neurology_psychiatric,Headache,Onset Findings,Recurring episodes or relapses,
vdx_neurology_psychiatric,Headache,Onset Findings,None,
vdx_neurology_psychiatric,Headache,Systemic symptoms,Fever,
vdx_neurology_psychiatric,Headache,Systemic symptoms,Unexplained weight loss,
vdx_neurology_psychiatric,Headache,Systemic symptoms,Fatigue,
vdx_neurology_psychiatric,Headache,Systemic symptoms,Nausea,
vdx_neurology_psychiatric,Headache,Systemic symptoms,Vomiting,
vdx_neurology_psychiatric,Headache,Systemic symptoms,Insomnia,
vdx_neurology_psychiatric,Headache,Systemic symptoms,Arthralgia,
vdx_neurology_psychiatric,Headache,Systemic symptoms,Dizziness,
vdx_neurology_psychiatric,Headache,Systemic symptoms,Vertigo,
vdx_neurology_psychiatric,Headache,Systemic symptoms,Neck pain,
vdx_neurology_psychiatric,Headache,Systemic symptoms,Back pain,
vdx_neurology_psychiatric,Headache,Systemic symptoms,Heart palpitations,
vdx_neurology_psychiatric,Headache,Systemic symptoms,Abdominal painBone pain,
vdx_neurology_psychiatric,Headache,Systemic symptoms,Generalized weakness,
vdx_neurology_psychiatric,Headache,Exposure,Animal,
vdx_neurology_psychiatric,Headache,Exposure,Reptile,
vdx_neurology_psychiatric,Headache,Exposure,Chemical,
vdx_neurology_psychiatric,Headache,Exposure,Birds,
vdx_neurology_psychiatric,Headache,Exposure,Aquatic Animals,
vdx_neurology_psychiatric,Headache,Exposure,Mosquito,
vdx_neurology_psychiatric,Headache,Medical history,History of Primary hypertension,
vdx_neurology_psychiatric,Headache,Medical history,External force trauma,
vdx_neurology_psychiatric,Headache,Medical history,History of Migraine headache,
vdx_neurology_psychiatric,Headache,Medical history,History of Immunosuppression/immunocompromised,
vdx_neurology_psychiatric,Headache,Medical history,History of Obstructive sleep apnea,
vdx_neurology_psychiatric,Headache,Medical history,History of Deep vein thrombosis,
vdx_neurology_psychiatric,Headache,Social History,Substance abuse,
vdx_neurology_psychiatric,Headache,Social History,Sexually active,
vdx_neurology_psychiatric,Headache,Social History,Hygiene,
vdx_neurology_psychiatric,Headache,Travel History,Endemic Zones,
vdx_neurology_psychiatric,Headache,Physical exam,Vitals,Hypothermia
vdx_neurology_psychiatric,Headache,Physical exam,Vitals,Tachycardia
vdx_neurology_psychiatric,Headache,Physical exam,Vitals,Bradycardia
vdx_neurology_psychiatric,Headache,Physical exam,Vitals,Hypertension
vdx_neurology_psychiatric,Headache,Physical exam,Vitals,Hypotension
vdx_neurology_psychiatric,Headache,Physical exam,Vitals,Tachypnea
vdx_neurology_psychiatric,Headache,Physical exam,Vitals,Bradypnea
vdx_neurology_psychiatric,Headache,Physical exam,Seizures,
vdx_neurology_psychiatric,Headache,Physical exam,Ocular hypertension,
vdx_neurology_psychiatric,Headache,Physical exam,Nystagmus,
vdx_neurology_psychiatric,Headache,Physical exam,Ataxia,
vdx_neurology_psychiatric,Headache,Physical exam,Papilledema,
vdx_neurology_psychiatric,Headache,Physical exam,Cranial nerve palsy,
vdx_neurology_psychiatric,Headache,Physical exam,Scalp tenderness,
vdx_neurology_psychiatric,Headache,Physical exam,Proptosis,
vdx_neurology_psychiatric,Headache,Physical exam,Facial palsy,
vdx_neurology_psychiatric,Headache,Physical exam,Carotid bruit,
vdx_neurology_psychiatric,Headache,Physical exam,Nuchal rigidity,
vdx_neurology_psychiatric,Headache,Physical exam,Hemiplegia (unilateral paralysis),
vdx_neurology_psychiatric,Headache,Physical exam,Rash or multiple lesions,
vdx_neurology_psychiatric,Headache,Investigation,Anemia,
vdx_neurology_psychiatric,Headache,Investigation,Chemistry,C-reactive protein elevated
vdx_neurology_psychiatric,Headache,Investigation,Chemistry,ESR elevated
vdx_neurology_psychiatric,Headache,Investigation,Chemistry,Transaminases elevated
vdx_neurology_psychiatric,Headache,Investigation,Chemistry,Hyponatremia
vdx_neurology_psychiatric,Headache,Investigation,Chemistry,Hypernatremia
vdx_neurology_psychiatric,Headache,Investigation,Chemistry,Hyperbilirubinemia
vdx_neurology_psychiatric,Headache,Investigation,Chemistry,LDH elevated
vdx_neurology_psychiatric,Headache,Investigation,Chemistry,Procalcitonin increased
vdx_neurology_psychiatric,Headache,Investigation,Chemistry,Acid base disturbance
vdx_neurology_psychiatric,Headache,Investigation,Chemistry,Blood urea nitrogen elevated
vdx_neurology_psychiatric,Headache,Investigation,Chemistry,Hypoxemia
vdx_neurology_psychiatric,Headache,Investigation,Chemistry,Hypercalcemia
vdx_neurology_psychiatric,Headache,Investigation,International Normalized Ratio (INR) raised,
vdx_neurology_psychiatric,Headache,Investigation,Neutropenia,
vdx_neurology_psychiatric,Headache,Investigation,Leukocytosis,
vdx_neurology_psychiatric,Headache,Investigation,ESR elevated,
vdx_neurology_psychiatric,Headache,Investigation,ANA positive,
vdx_neurology_psychiatric,Headache,Nagetive Findings,No skin findings,
vdx_neurology_psychiatric,Headache,Nagetive Findings,No cardiovascular findings,
vdx_neurology_psychiatric,Headache,Nagetive Findings,No dysmorphologic/malformation features,
vdx_neurology_psychiatric,Headache,Nagetive Findings,No gastrointestinal findings,
vdx_neurology_psychiatric,Headache,Nagetive Findings,No HEENT findings,
vdx_neurology_psychiatric,Headache,Nagetive Findings,No musculoskeletal findings,
vdx_neurology_psychiatric,Headache,Nagetive Findings,No neurologic findings,
vdx_neurology_psychiatric,Headache,Nagetive Findings,No medication use (prescription or OTC),
vdx_neurology_psychiatric,Headache,Nagetive Findings,No respiratory findings,
vdx_neurology_psychiatric,Vertigo,Onset of findings,Developed rapidly (minutes to hours),
