col_zero,col_one,col_two,col_three,col_four
vdx_ent_oral_medicine,Oral lesion,Oral lesions,Oral White Plaque,
vdx_ent_oral_medicine,Oral lesion,Oral lesions,Oral Pigmented Plaque,
vdx_ent_oral_medicine,Oral lesion,Oral lesions,Oral Pigmented Macule / Patch,
vdx_ent_oral_medicine,Oral lesion,Oral lesions,Oral Purpura / Vascular Growth,
vdx_ent_oral_medicine,Oral lesion,Oral lesions,Oral Cyst / Vesicle,
vdx_ent_oral_medicine,Oral lesion,Oral lesions,Oral Papule,
vdx_ent_oral_medicine,Oral lesion,Oral lesions,Oral Nodule,
vdx_ent_oral_medicine,Oral lesion,Oral lesions,Oral Tumor / Mass,
vdx_ent_oral_medicine,Oral lesion,Oral lesions,Oral Erosion / Ulcer / Atrophy,
vdx_ent_oral_medicine,Oral lesion,Oral Location,Soft Palate / Tonsillar,
vdx_ent_oral_medicine,Oral lesion,Oral Location,Hard Palate,
vdx_ent_oral_medicine,Oral lesion,Oral Location,Mucosal Lip,
vdx_ent_oral_medicine,Oral lesion,Oral Location,Buccal Mucosa,
vdx_ent_oral_medicine,Oral lesion,Oral Location,Gingival-Alveolar Mucosa,
vdx_ent_oral_medicine,Oral lesion,Oral Location,Ventral Tongue,
vdx_ent_oral_medicine,Oral lesion,Oral Location,Dorsal Tongue,
vdx_ent_oral_medicine,Oral lesion,Oral Location,Lips,
vdx_ent_oral_medicine,Oral lesion,Oral Location,Commissure Of Lips,
vdx_ent_oral_medicine,Oral lesion,Oral Symptoms / Sign,Mouth pain,
vdx_ent_oral_medicine,Oral lesion,Oral Symptoms / Sign,Glossodynia,
vdx_ent_oral_medicine,Oral lesion,Oral Symptoms / Sign,Toothache,
vdx_ent_oral_medicine,Oral lesion,Oral Symptoms / Sign,Xerostomia,
vdx_ent_oral_medicine,Oral lesion,Oral Symptoms / Sign,Gingival hypertrophy,
vdx_ent_oral_medicine,Oral lesion,Oral Symptoms / Sign,Jaw pain,
vdx_ent_oral_medicine,Oral lesion,Oral Symptoms / Sign,Halitosis,
vdx_ent_oral_medicine,Oral lesion,Oral Symptoms / Sign,Dental caries,
vdx_ent_oral_medicine,Oral lesion,Oral Symptoms / Sign,Teeth abnormalities,
vdx_ent_oral_medicine,Oral lesion,Oral Symptoms / Sign,Drooling,
vdx_ent_oral_medicine,Oral lesion,History,History of Immunosuppression/immunocompromised,
vdx_ent_oral_medicine,Oral lesion,History,History of Diabetes mellitus,
vdx_ent_oral_medicine,Oral lesion,History,History of Human immunodeficiency virus disease,
vdx_ent_oral_medicine,Oral lesion,Onset Findings,Developed rapidly (minutes to hours),
vdx_ent_oral_medicine,Oral lesion,Onset Findings,Developed acutely (days to weeks),
vdx_ent_oral_medicine,Oral lesion,Onset Findings,Developed chronically (months to years),
vdx_ent_oral_medicine,Oral lesion,Onset Findings,Recurring episodes or relapses,
vdx_ent_oral_medicine,Oral lesion,Onset Findings,Present at birth,
vdx_ent_oral_medicine,Oral lesion,Appearance of the Patient,Patient appears well,
vdx_ent_oral_medicine,Oral lesion,Appearance of the Patient,Patient appears ill,
